family,instance,algorithm,seed,cutoff,runtime_sec,cover_size,ref_value,rel_err,solution_file,trace_file
small,small4,LS2,15,2,0.03777004200000533,20,20,0.0,small4_LS2_2_15.sol,small4_LS2_2_15.trace
small,small4,LS2,16,2,0.03942004099999963,20,20,0.0,small4_LS2_2_16.sol,small4_LS2_2_16.trace
small,small4,LS2,17,2,0.03971487500000137,20,20,0.0,small4_LS2_2_17.sol,small4_LS2_2_17.trace
small,small4,LS2,18,2,0.042510832999994363,20,20,0.0,small4_LS2_2_18.sol,small4_LS2_2_18.trace
small,small4,LS2,19,2,0.039816999999999325,20,20,0.0,small4_LS2_2_19.sol,small4_LS2_2_19.trace
small,small4,LS2,20,2,0.04222691699999359,20,20,0.0,small4_LS2_2_20.sol,small4_LS2_2_20.trace
small,small5,Approx,1,2,0.04005158299999323,21,21,0.0,small5_Approx_2.sol,
small,small5,BnB,1,2,0.0417799169999995,21,21,0.0,small5_BnB_2.sol,small5_BnB_2.trace
small,small5,LS1,1,2,0.0392857079999942,21,21,0.0,small5_LS1_2_1.sol,small5_LS1_2_1.trace
small,small5,LS1,2,2,0.03890679200000591,21,21,0.0,small5_LS1_2_2.sol,small5_LS1_2_2.trace
small,small5,LS1,3,2,0.03713316699999325,21,21,0.0,small5_LS1_2_3.sol,small5_LS1_2_3.trace
small,small5,LS1,4,2,0.03704466599999989,21,21,0.0,small5_LS1_2_4.sol,small5_LS1_2_4.trace
small,small5,LS1,5,2,0.03697691700000405,21,21,0.0,small5_LS1_2_5.sol,small5_LS1_2_5.trace
small,small5,LS1,6,2,0.03860266699999215,21,21,0.0,small5_LS1_2_6.sol,small5_LS1_2_6.trace
small,small5,LS1,7,2,0.035531875000003765,21,21,0.0,small5_LS1_2_7.sol,small5_LS1_2_7.trace
small,small5,LS1,8,2,0.036044416999999385,21,21,0.0,small5_LS1_2_8.sol,small5_LS1_2_8.trace
small,small5,LS1,9,2,0.03585616600000208,21,21,0.0,small5_LS1_2_9.sol,small5_LS1_2_9.trace
small,small5,LS1,10,2,0.03146504200000777,21,21,0.0,small5_LS1_2_10.sol,small5_LS1_2_10.trace
small,small5,LS1,11,2,0.0365200000000101,21,21,0.0,small5_LS1_2_11.sol,small5_LS1_2_11.trace
small,small5,LS1,12,2,0.035064833000006956,21,21,0.0,small5_LS1_2_12.sol,small5_LS1_2_12.trace
small,small5,LS1,13,2,0.03491375000000119,21,21,0.0,small5_LS1_2_13.sol,small5_LS1_2_13.trace
small,small5,LS1,14,2,0.036645042000003514,21,21,0.0,small5_LS1_2_14.sol,small5_LS1_2_14.trace
small,small5,LS1,15,2,0.03928491700000336,21,21,0.0,small5_LS1_2_15.sol,small5_LS1_2_15.trace
small,small5,LS1,16,2,0.04140979199999606,21,21,0.0,small5_LS1_2_16.sol,small5_LS1_2_16.trace
small,small5,LS1,17,2,0.04273308300000167,21,21,0.0,small5_LS1_2_17.sol,small5_LS1_2_17.trace
small,small5,LS1,18,2,0.042004417000001126,21,21,0.0,small5_LS1_2_18.sol,small5_LS1_2_18.trace
small,small5,LS1,19,2,0.039245750000006296,21,21,0.0,small5_LS1_2_19.sol,small5_LS1_2_19.trace
small,small5,LS1,20,2,0.038337333000001195,21,21,0.0,small5_LS1_2_20.sol,small5_LS1_2_20.trace
small,small5,LS2,1,2,0.03708783300000107,21,21,0.0,small5_LS2_2_1.sol,small5_LS2_2_1.trace
small,small5,LS2,2,2,0.03640749999999571,21,21,0.0,small5_LS2_2_2.sol,small5_LS2_2_2.trace
small,small5,LS2,3,2,0.04642712499999391,21,21,0.0,small5_LS2_2_3.sol,small5_LS2_2_3.trace
small,small5,LS2,4,2,0.037436374999998634,21,21,0.0,small5_LS2_2_4.sol,small5_LS2_2_4.trace
small,small5,LS2,5,2,0.037120416000007594,21,21,0.0,small5_LS2_2_5.sol,small5_LS2_2_5.trace
small,small5,LS2,6,2,0.046215166999999724,21,21,0.0,small5_LS2_2_6.sol,small5_LS2_2_6.trace
small,small5,LS2,7,2,0.03564058400000647,21,21,0.0,small5_LS2_2_7.sol,small5_LS2_2_7.trace
small,small5,LS2,8,2,0.03903658400000154,21,21,0.0,small5_LS2_2_8.sol,small5_LS2_2_8.trace
small,small5,LS2,9,2,0.039551333000005684,21,21,0.0,small5_LS2_2_9.sol,small5_LS2_2_9.trace
small,small5,LS2,10,2,0.04734254199999555,21,21,0.0,small5_LS2_2_10.sol,small5_LS2_2_10.trace
small,small5,LS2,11,2,0.0410594169999996,21,21,0.0,small5_LS2_2_11.sol,small5_LS2_2_11.trace
small,small5,LS2,12,2,0.03984912500000348,21,21,0.0,small5_LS2_2_12.sol,small5_LS2_2_12.trace
small,small5,LS2,13,2,0.04554566599999532,21,21,0.0,small5_LS2_2_13.sol,small5_LS2_2_13.trace
small,small5,LS2,14,2,0.042325165999997694,21,21,0.0,small5_LS2_2_14.sol,small5_LS2_2_14.trace
small,small5,LS2,15,2,0.0389902080000013,21,21,0.0,small5_LS2_2_15.sol,small5_LS2_2_15.trace
small,small5,LS2,16,2,0.036657791999999745,21,21,0.0,small5_LS2_2_16.sol,small5_LS2_2_16.trace
small,small5,LS2,17,2,0.033239958000010006,21,21,0.0,small5_LS2_2_17.sol,small5_LS2_2_17.trace
small,small5,LS2,18,2,0.03539754199999834,21,21,0.0,small5_LS2_2_18.sol,small5_LS2_2_18.trace
small,small5,LS2,19,2,0.034571249999999054,21,21,0.0,small5_LS2_2_19.sol,small5_LS2_2_19.trace
small,small5,LS2,20,2,0.03547037500000272,21,21,0.0,small5_LS2_2_20.sol,small5_LS2_2_20.trace
small,small6,Approx,1,2,0.03511641599999393,21,20,0.05,small6_Approx_2.sol,
small,small6,BnB,1,2,0.03312554200000761,20,20,0.0,small6_BnB_2.sol,small6_BnB_2.trace
small,small6,LS1,1,2,0.036355083000003674,20,20,0.0,small6_LS1_2_1.sol,small6_LS1_2_1.trace
small,small6,LS1,2,2,0.03568399999998917,20,20,0.0,small6_LS1_2_2.sol,small6_LS1_2_2.trace
small,small6,LS1,3,2,0.03764212500000497,20,20,0.0,small6_LS1_2_3.sol,small6_LS1_2_3.trace
small,small6,LS1,4,2,0.03888641599999687,20,20,0.0,small6_LS1_2_4.sol,small6_LS1_2_4.trace
small,small6,LS1,5,2,0.038966666999996846,20,20,0.0,small6_LS1_2_5.sol,small6_LS1_2_5.trace
small,small6,LS1,6,2,0.03942974999999649,20,20,0.0,small6_LS1_2_6.sol,small6_LS1_2_6.trace
small,small6,LS1,7,2,0.0391130000000004,20,20,0.0,small6_LS1_2_7.sol,small6_LS1_2_7.trace
small,small6,LS1,8,2,0.03773220899999785,20,20,0.0,small6_LS1_2_8.sol,small6_LS1_2_8.trace
small,small6,LS1,9,2,0.03780329199999244,20,20,0.0,small6_LS1_2_9.sol,small6_LS1_2_9.trace
small,small6,LS1,10,2,0.036951833000003376,20,20,0.0,small6_LS1_2_10.sol,small6_LS1_2_10.trace
